=== Age ===
- Valore: 24.0 | Conteggio: 324 | Percentuale: 3.73%
- Valore: 2523 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2522 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2521 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2520 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2519 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2516 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2513 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2510 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2509 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2502 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2314 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2313 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2312 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2115 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2126 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2125 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2124 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2121 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2120 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2118 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2117 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2116 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2114 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2311 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2112 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2111 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2110 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2107 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2106 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2105 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2102 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2100 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2127 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2128 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2129 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2130 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2154 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2153 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2152 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2150 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2149 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2148 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2147 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2145 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2144 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2142 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2141 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2140 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2139 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2138 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2136 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2134 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2131 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2099 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2097 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2095 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2054 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2052 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2051 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2046 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2045 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2044 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2043 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2042 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2041 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2038 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2034 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2032 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2029 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2028 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2027 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2022 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2015 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2013 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2053 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2059 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2094 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2060 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2091 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2090 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2089 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2087 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2085 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2083 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2082 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2081 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2080 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2075 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2073 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2070 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2066 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2065 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2063 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2062 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2061 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2156 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2158 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2159 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2270 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2268 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2267 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2266 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2264 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2263 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2262 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2261 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2258 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2256 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2254 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2253 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2252 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2243 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2241 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2239 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2238 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2235 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2269 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2273 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2231 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2275 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2309 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2305 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2303 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2302 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2299 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2298 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2296 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2289 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2288 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2287 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2284 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2282 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2281 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2280 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2279 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2278 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2277 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2233 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2229 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2161 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2195 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2193 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2191 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2190 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2189 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2188 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2187 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2186 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2182 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2180 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2179 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2177 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2175 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2173 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2172 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2167 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2164 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2163 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2194 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2198 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2228 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2200 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2225 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2224 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2223 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2221 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2220 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2219 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2212 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2211 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2210 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2209 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2207 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2206 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2205 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2204 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2203 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2202 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 2201 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 1345 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 1340 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 5214 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 434 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 449 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 447 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 446 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 442 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 441 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 439 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 438 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 435 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 432 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 507 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 431 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 430 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 428 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 427 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 423 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 415 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 413 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 412 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 452 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 456 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 458 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 459 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 502 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 501 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 500 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 490 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 488 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 487 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 485 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 481 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 480 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 477 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 475 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 474 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 472 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 468 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 466 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 462 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 460 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 411 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 410 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 409 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 372 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 370 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 369 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 365 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 361 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 360 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 359 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 357 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 356 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 355 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 352 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 350 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 347 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 346 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 345 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 343 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 341 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 340 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 371 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 373 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 408 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 375 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 405 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 403 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 402 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 398 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 397 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 396 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 392 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 391 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 389 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 388 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 387 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 385 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 382 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 380 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 379 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 377 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 376 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 506 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 510 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 668 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 608 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 629 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 628 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 623 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 614 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 612 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 611 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 610 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 609 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 603 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 513 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 600 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 598 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 596 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 593 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 591 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 590 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 589 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 588 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 630 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 631 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 633 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 634 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 663 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 661 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 660 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 659 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 658 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 656 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 655 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 653 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 650 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 646 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 645 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 644 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 643 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 641 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 639 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 638 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 637 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 587 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 586 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 582 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 547 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 545 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 542 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 538 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 537 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 533 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 529 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 528 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 525 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 523 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 522 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 521 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 520 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 519 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 518 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 517 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 516 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 515 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 546 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 548 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 581 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 550 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 580 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 577 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 576 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 575 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 573 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 572 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 570 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 569 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 567 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 566 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 565 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 563 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 561 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 559 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 556 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 552 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 551 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 338 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 336 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 334 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 107 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 122 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 120 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 116 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 115 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 114 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 113 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 112 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 111 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 105 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 333 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 102 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 101 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 97 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 90 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 88 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 86 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 85 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 84 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 123 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 126 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 127 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 129 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 172 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 171 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 170 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 169 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 165 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 160 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 152 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 151 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 149 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 148 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 147 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 146 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 144 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 141 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 139 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 136 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 134 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 81 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 78 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 77 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 36 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 34 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 30 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 28 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 26 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 25 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 24 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 22 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 16 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 15 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 14 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 12 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 11 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 10 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 9 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 7 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 5 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 4 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 35 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 38 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 76 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 39 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 74 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 73 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 72 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 71 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 70 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 69 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 68 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 66 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 62 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 61 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 58 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 53 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 52 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 51 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 50 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 43 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 41 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 173 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 174 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 177 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 294 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 289 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 288 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 286 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 282 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 281 | Conteggio: 1 | Percentuale: 0.01%
- Valore: 277 | Conteggio: 1 | Percentuale: 0.01%
