feature,value,count,percentage
Group,1564,1,0.0115
Group,1561,1,0.0115
Group,1560,1,0.0115
Group,1558,1,0.0115
Group,1555,1,0.0115
Group,1552,1,0.0115
Group,1551,1,0.0115
Group,1547,1,0.0115
Group,1545,1,0.0115
Group,1544,1,0.0115
Group,1543,1,0.0115
Group,1542,1,0.0115
Group,1541,1,0.0115
Group,1539,1,0.0115
Group,1536,1,0.0115
Group,1533,1,0.0115
Group,1532,1,0.0115
Group,1531,1,0.0115
Group,1562,1,0.0115
Group,1565,1,0.0115
Group,1611,1,0.0115
Group,1567,1,0.0115
Group,1608,1,0.0115
Group,1606,1,0.0115
Group,1604,1,0.0115
Group,1602,1,0.0115
Group,1601,1,0.0115
Group,1597,1,0.0115
Group,1596,1,0.0115
Group,1595,1,0.0115
Group,1594,1,0.0115
Group,1593,1,0.0115
Group,1585,1,0.0115
Group,1579,1,0.0115
Group,1578,1,0.0115
Group,1577,1,0.0115
Group,1576,1,0.0115
Group,1573,1,0.0115
Group,1569,1,0.0115
Group,2007,1,0.0115
Group,2011,1,0.0115
Group,1342,1,0.0115
Group,2413,1,0.0115
Group,2427,1,0.0115
Group,2424,1,0.0115
Group,2423,1,0.0115
Group,2421,1,0.0115
Group,2419,1,0.0115
Group,2417,1,0.0115
Group,2416,1,0.0115
Group,2414,1,0.0115
Group,2412,1,0.0115
Group,2460,1,0.0115
Group,2411,1,0.0115
Group,2410,1,0.0115
Group,2406,1,0.0115
Group,2403,1,0.0115
Group,2402,1,0.0115
Group,2401,1,0.0115
Group,2399,1,0.0115
Group,2398,1,0.0115
Group,2429,1,0.0115
Group,2431,1,0.0115
Group,2432,1,0.0115
Group,2433,1,0.0115
Group,2457,1,0.0115
Group,2456,1,0.0115
Group,2455,1,0.0115
Group,2454,1,0.0115
Group,2453,1,0.0115
Group,2452,1,0.0115
Group,2451,1,0.0115
Group,2446,1,0.0115
Group,2445,1,0.0115
Group,2444,1,0.0115
Group,2443,1,0.0115
Group,2442,1,0.0115
Group,2441,1,0.0115
Group,2439,1,0.0115
Group,2438,1,0.0115
Group,2436,1,0.0115
Group,2435,1,0.0115
Group,2397,1,0.0115
Group,2395,1,0.0115
Group,2392,1,0.0115
Group,2357,1,0.0115
Group,2348,1,0.0115
Group,2345,1,0.0115
Group,2341,1,0.0115
Group,2340,1,0.0115
Group,2339,1,0.0115
Group,2333,1,0.0115
Group,2332,1,0.0115
Group,2329,1,0.0115
Group,2327,1,0.0115
Group,2325,1,0.0115
Group,2321,1,0.0115
Group,2320,1,0.0115
Group,2319,1,0.0115
Group,2318,1,0.0115
Group,2317,1,0.0115
Group,2316,1,0.0115
Group,2315,1,0.0115
Group,2349,1,0.0115
Group,2360,1,0.0115
Group,2391,1,0.0115
Group,2363,1,0.0115
Group,2390,1,0.0115
Group,2389,1,0.0115
Group,2387,1,0.0115
Group,2385,1,0.0115
Group,2382,1,0.0115
Group,2379,1,0.0115
Group,2377,1,0.0115
Group,2376,1,0.0115
Group,2375,1,0.0115
Group,2374,1,0.0115
Group,2373,1,0.0115
Group,2369,1,0.0115
Group,2368,1,0.0115
Group,2367,1,0.0115
Group,2366,1,0.0115
Group,2365,1,0.0115
Group,2364,1,0.0115
Group,2458,1,0.0115
Group,2461,1,0.0115
Group,2012,1,0.0115
Group,2564,1,0.0115
Group,2588,1,0.0115
Group,2584,1,0.0115
Group,2582,1,0.0115
Group,2580,1,0.0115
Group,2578,1,0.0115
Group,2574,1,0.0115
Group,2573,1,0.0115
Group,2571,1,0.0115
Group,2561,1,0.0115
Group,2462,1,0.0115
Group,2559,1,0.0115
Group,2557,1,0.0115
Group,2553,1,0.0115
Group,2551,1,0.0115
Group,2550,1,0.0115
Group,2548,1,0.0115
Group,2546,1,0.0115
Group,2545,1,0.0115
Group,2593,1,0.0115
Group,2594,1,0.0115
Group,2598,1,0.0115
Group,2599,1,0.0115
Group,2636,1,0.0115
Group,2635,1,0.0115
Group,2634,1,0.0115
Group,2633,1,0.0115
Group,2631,1,0.0115
Group,2629,1,0.0115
Group,2627,1,0.0115
Group,2626,1,0.0115
Group,2624,1,0.0115
Group,2622,1,0.0115
Group,2619,1,0.0115
Group,2618,1,0.0115
Group,2617,1,0.0115
Group,2616,1,0.0115
Group,2609,1,0.0115
Group,2605,1,0.0115
Group,2601,1,0.0115
Group,2542,1,0.0115
Group,2541,1,0.0115
Group,2540,1,0.0115
Group,2498,1,0.0115
Group,2496,1,0.0115
Group,2492,1,0.0115
Group,2491,1,0.0115
Group,2489,1,0.0115
Group,2488,1,0.0115
Group,2483,1,0.0115
Group,2480,1,0.0115
Group,2479,1,0.0115
Group,2478,1,0.0115
Group,2476,1,0.0115
Group,2475,1,0.0115
Group,2474,1,0.0115
Group,2472,1,0.0115
Group,2471,1,0.0115
Group,2467,1,0.0115
Group,2466,1,0.0115
Group,2463,1,0.0115
Group,2497,1,0.0115
Group,2499,1,0.0115
Group,2537,1,0.0115
Group,2500,1,0.0115
Group,2535,1,0.0115
Group,2531,1,0.0115
Group,2530,1,0.0115
Group,2528,1,0.0115
Group,2527,1,0.0115
Group,2526,1,0.0115
Group,2524,1,0.0115
Group,2523,1,0.0115
Group,2522,1,0.0115
Group,2521,1,0.0115
Group,2520,1,0.0115
Group,2519,1,0.0115
Group,2516,1,0.0115
Group,2513,1,0.0115
Group,2510,1,0.0115
Group,2509,1,0.0115
Group,2502,1,0.0115
Group,2314,1,0.0115
Group,2313,1,0.0115
Group,2312,1,0.0115
Group,2115,1,0.0115
Group,2126,1,0.0115
Group,2125,1,0.0115
Group,2124,1,0.0115
Group,2121,1,0.0115
Group,2120,1,0.0115
Group,2118,1,0.0115
Group,2117,1,0.0115
Group,2116,1,0.0115
Group,2114,1,0.0115
Group,2311,1,0.0115
Group,2112,1,0.0115
Group,2111,1,0.0115
Group,2110,1,0.0115
Group,2107,1,0.0115
Group,2106,1,0.0115
Group,2105,1,0.0115
Group,2102,1,0.0115
Group,2100,1,0.0115
Group,2127,1,0.0115
Group,2128,1,0.0115
Group,2129,1,0.0115
Group,2130,1,0.0115
Group,2154,1,0.0115
Group,2153,1,0.0115
Group,2152,1,0.0115
Group,2150,1,0.0115
Group,2149,1,0.0115
Group,2148,1,0.0115
Group,2147,1,0.0115
Group,2145,1,0.0115
Group,2144,1,0.0115
Group,2142,1,0.0115
Group,2141,1,0.0115
Group,2140,1,0.0115
Group,2139,1,0.0115
Group,2138,1,0.0115
Group,2136,1,0.0115
Group,2134,1,0.0115
Group,2131,1,0.0115
Group,2099,1,0.0115
Group,2097,1,0.0115
Group,2095,1,0.0115
Group,2054,1,0.0115
Group,2052,1,0.0115
Group,2051,1,0.0115
Group,2046,1,0.0115
Group,2045,1,0.0115
Group,2044,1,0.0115
Group,2043,1,0.0115
Group,2042,1,0.0115
Group,2041,1,0.0115
Group,2038,1,0.0115
Group,2034,1,0.0115
Group,2032,1,0.0115
Group,2029,1,0.0115
Group,2028,1,0.0115
Group,2027,1,0.0115
Group,2022,1,0.0115
Group,2015,1,0.0115
Group,2013,1,0.0115
Group,2053,1,0.0115
Group,2059,1,0.0115
Group,2094,1,0.0115
Group,2060,1,0.0115
Group,2091,1,0.0115
Group,2090,1,0.0115
Group,2089,1,0.0115
Group,2087,1,0.0115
Group,2085,1,0.0115
Group,2083,1,0.0115
Group,2082,1,0.0115
Group,2081,1,0.0115
Group,2080,1,0.0115
Group,2075,1,0.0115
Group,2073,1,0.0115
Group,2070,1,0.0115
Group,2066,1,0.0115
Group,2065,1,0.0115
Group,2063,1,0.0115
Group,2062,1,0.0115
Group,2061,1,0.0115
Group,2156,1,0.0115
Group,2158,1,0.0115
Group,2159,1,0.0115
Group,2270,1,0.0115
Group,2268,1,0.0115
Group,2267,1,0.0115
Group,2266,1,0.0115
Group,2264,1,0.0115
Group,2263,1,0.0115
Group,2262,1,0.0115
Group,2261,1,0.0115
Group,2258,1,0.0115
Group,2256,1,0.0115
Group,2254,1,0.0115
Group,2253,1,0.0115
Group,2252,1,0.0115
Group,2243,1,0.0115
Group,2241,1,0.0115
Group,2239,1,0.0115
Group,2238,1,0.0115
Group,2235,1,0.0115
Group,2269,1,0.0115
Group,2273,1,0.0115
Group,2231,1,0.0115
Group,2275,1,0.0115
Group,2309,1,0.0115
Group,2305,1,0.0115
Group,2303,1,0.0115
Group,2302,1,0.0115
Group,2299,1,0.0115
Group,2298,1,0.0115
Group,2296,1,0.0115
Group,2289,1,0.0115
Group,2288,1,0.0115
Group,2287,1,0.0115
Group,2284,1,0.0115
Group,2282,1,0.0115
Group,2281,1,0.0115
Group,2280,1,0.0115
Group,2279,1,0.0115
Group,2278,1,0.0115
Group,2277,1,0.0115
Group,2233,1,0.0115
Group,2229,1,0.0115
Group,2161,1,0.0115
Group,2195,1,0.0115
Group,2193,1,0.0115
Group,2191,1,0.0115
Group,2190,1,0.0115
Group,2189,1,0.0115
Group,2188,1,0.0115
Group,2187,1,0.0115
Group,2186,1,0.0115
Group,2182,1,0.0115
Group,2180,1,0.0115
Group,2179,1,0.0115
Group,2177,1,0.0115
Group,2175,1,0.0115
Group,2173,1,0.0115
Group,2172,1,0.0115
Group,2167,1,0.0115
Group,2164,1,0.0115
Group,2163,1,0.0115
Group,2194,1,0.0115
Group,2198,1,0.0115
Group,2228,1,0.0115
Group,2200,1,0.0115
Group,2225,1,0.0115
Group,2224,1,0.0115
Group,2223,1,0.0115
Group,2221,1,0.0115
Group,2220,1,0.0115
Group,2219,1,0.0115
Group,2212,1,0.0115
Group,2211,1,0.0115
Group,2210,1,0.0115
Group,2209,1,0.0115
Group,2207,1,0.0115
Group,2206,1,0.0115
Group,2205,1,0.0115
Group,2204,1,0.0115
Group,2203,1,0.0115
Group,2202,1,0.0115
Group,2201,1,0.0115
Group,1345,1,0.0115
Group,1340,1,0.0115
Group,5214,1,0.0115
Group,434,1,0.0115
Group,449,1,0.0115
Group,447,1,0.0115
Group,446,1,0.0115
Group,442,1,0.0115
Group,441,1,0.0115
Group,439,1,0.0115
Group,438,1,0.0115
Group,435,1,0.0115
Group,432,1,0.0115
Group,507,1,0.0115
Group,431,1,0.0115
Group,430,1,0.0115
Group,428,1,0.0115
Group,427,1,0.0115
Group,423,1,0.0115
Group,415,1,0.0115
Group,413,1,0.0115
Group,412,1,0.0115
Group,452,1,0.0115
Group,456,1,0.0115
Group,458,1,0.0115
Group,459,1,0.0115
Group,502,1,0.0115
Group,501,1,0.0115
Group,500,1,0.0115
Group,490,1,0.0115
Group,488,1,0.0115
Group,487,1,0.0115
Group,485,1,0.0115
Group,481,1,0.0115
Group,480,1,0.0115
Group,477,1,0.0115
Group,475,1,0.0115
Group,474,1,0.0115
Group,472,1,0.0115
Group,468,1,0.0115
Group,466,1,0.0115
Group,462,1,0.0115
Group,460,1,0.0115
Group,411,1,0.0115
Group,410,1,0.0115
Group,409,1,0.0115
Group,372,1,0.0115
Group,370,1,0.0115
Group,369,1,0.0115
Group,365,1,0.0115
Group,361,1,0.0115
Group,360,1,0.0115
Group,359,1,0.0115
Group,357,1,0.0115
Group,356,1,0.0115
Group,355,1,0.0115
Group,352,1,0.0115
Group,350,1,0.0115
Group,347,1,0.0115
Group,346,1,0.0115
Group,345,1,0.0115
Group,343,1,0.0115
Group,341,1,0.0115
Group,340,1,0.0115
Group,371,1,0.0115
Group,373,1,0.0115
Group,408,1,0.0115
Group,375,1,0.0115
Group,405,1,0.0115
Group,403,1,0.0115
Group,402,1,0.0115
Group,398,1,0.0115
Group,397,1,0.0115
Group,396,1,0.0115
Group,392,1,0.0115
Group,391,1,0.0115
Group,389,1,0.0115
Group,388,1,0.0115
Group,387,1,0.0115
Group,385,1,0.0115
Group,382,1,0.0115
Group,380,1,0.0115
Group,379,1,0.0115
Group,377,1,0.0115
Group,376,1,0.0115
Group,506,1,0.0115
Group,510,1,0.0115
Group,668,1,0.0115
Group,608,1,0.0115
Group,629,1,0.0115
Group,628,1,0.0115
Group,623,1,0.0115
Group,614,1,0.0115
Group,612,1,0.0115
Group,611,1,0.0115
Group,610,1,0.0115
Group,609,1,0.0115
Group,603,1,0.0115
Group,513,1,0.0115
Group,600,1,0.0115
Group,598,1,0.0115
Group,596,1,0.0115
Group,593,1,0.0115
Group,591,1,0.0115
Group,590,1,0.0115
Group,589,1,0.0115
Group,588,1,0.0115
Group,630,1,0.0115
Group,631,1,0.0115
Group,633,1,0.0115
Group,634,1,0.0115
Group,663,1,0.0115
Group,661,1,0.0115
Group,660,1,0.0115
Group,659,1,0.0115
Group,658,1,0.0115
Group,656,1,0.0115
Group,655,1,0.0115
Group,653,1,0.0115
Group,650,1,0.0115
Group,646,1,0.0115
Group,645,1,0.0115
Group,644,1,0.0115
Group,643,1,0.0115
Group,641,1,0.0115
Group,639,1,0.0115
Group,638,1,0.0115
Group,637,1,0.0115
Group,587,1,0.0115
Group,586,1,0.0115
Group,582,1,0.0115
Group,547,1,0.0115
Group,545,1,0.0115
Group,542,1,0.0115
Group,538,1,0.0115
Group,537,1,0.0115
Group,533,1,0.0115
Group,529,1,0.0115
Group,528,1,0.0115
Group,525,1,0.0115
Group,523,1,0.0115
Group,522,1,0.0115
Group,521,1,0.0115
Group,520,1,0.0115
Group,519,1,0.0115
Group,518,1,0.0115
Group,517,1,0.0115
Group,516,1,0.0115
Group,515,1,0.0115
Group,546,1,0.0115
Group,548,1,0.0115
Group,581,1,0.0115
Group,550,1,0.0115
Group,580,1,0.0115
Group,577,1,0.0115
Group,576,1,0.0115
Group,575,1,0.0115
Group,573,1,0.0115
Group,572,1,0.0115
Group,570,1,0.0115
Group,569,1,0.0115
Group,567,1,0.0115
Group,566,1,0.0115
Group,565,1,0.0115
Group,563,1,0.0115
Group,561,1,0.0115
Group,559,1,0.0115
Group,556,1,0.0115
Group,552,1,0.0115
Group,551,1,0.0115
Group,338,1,0.0115
Group,336,1,0.0115
Group,334,1,0.0115
Group,107,1,0.0115
Group,122,1,0.0115
Group,120,1,0.0115
Group,116,1,0.0115
Group,115,1,0.0115
Group,114,1,0.0115
Group,113,1,0.0115
Group,112,1,0.0115
Group,111,1,0.0115
Group,105,1,0.0115
Group,333,1,0.0115
Group,102,1,0.0115
Group,101,1,0.0115
Group,97,1,0.0115
Group,90,1,0.0115
Group,88,1,0.0115
Group,86,1,0.0115
Group,85,1,0.0115
Group,84,1,0.0115
Group,123,1,0.0115
Group,126,1,0.0115
Group,127,1,0.0115
Group,129,1,0.0115
Group,172,1,0.0115
Group,171,1,0.0115
Group,170,1,0.0115
Group,169,1,0.0115
Group,165,1,0.0115
Group,160,1,0.0115
Group,152,1,0.0115
Group,151,1,0.0115
Group,149,1,0.0115
Group,148,1,0.0115
Group,147,1,0.0115
Group,146,1,0.0115
Group,144,1,0.0115
Group,141,1,0.0115
Group,139,1,0.0115
Group,136,1,0.0115
Group,134,1,0.0115
Group,81,1,0.0115
Group,78,1,0.0115
Group,77,1,0.0115
Group,36,1,0.0115
Group,34,1,0.0115
Group,30,1,0.0115
Group,28,1,0.0115
Group,26,1,0.0115
Group,25,1,0.0115
Group,24,1,0.0115
Group,22,1,0.0115
Group,16,1,0.0115
Group,15,1,0.0115
Group,14,1,0.0115
Group,12,1,0.0115
Group,11,1,0.0115
Group,10,1,0.0115
Group,9,1,0.0115
Group,7,1,0.0115
Group,5,1,0.0115
Group,4,1,0.0115
Group,35,1,0.0115
Group,38,1,0.0115
Group,76,1,0.0115
Group,39,1,0.0115
Group,74,1,0.0115
Group,73,1,0.0115
Group,72,1,0.0115
Group,71,1,0.0115
Group,70,1,0.0115
Group,69,1,0.0115
Group,68,1,0.0115
Group,66,1,0.0115
Group,62,1,0.0115
Group,61,1,0.0115
Group,58,1,0.0115
Group,53,1,0.0115
Group,52,1,0.0115
Group,51,1,0.0115
Group,50,1,0.0115
Group,43,1,0.0115
Group,41,1,0.0115
Group,173,1,0.0115
Group,174,1,0.0115
Group,177,1,0.0115
Group,294,1,0.0115
Group,289,1,0.0115
Group,288,1,0.0115
Group,286,1,0.0115
Group,282,1,0.0115
Group,281,1,0.0115
Group,277,1,0.0115
Group,275,1,0.0115
Group,270,1,0.0115
Group,269,1,0.0115
Group,267,1,0.0115
Group,265,1,0.0115
Group,263,1,0.0115
Group,261,1,0.0115
Group,260,1,0.0115
Group,258,1,0.0115
Group,255,1,0.0115
Group,254,1,0.0115
Group,291,1,0.0115
Group,297,1,0.0115
Group,252,1,0.0115
Group,298,1,0.0115
Group,331,1,0.0115
Group,327,1,0.0115
Group,326,1,0.0115
Group,324,1,0.0115
Group,322,1,0.0115
Group,321,1,0.0115
Group,315,1,0.0115
Group,314,1,0.0115
Group,310,1,0.0115
Group,309,1,0.0115
Group,307,1,0.0115
Group,306,1,0.0115
Group,305,1,0.0115
Group,304,1,0.0115
Group,303,1,0.0115
Group,302,1,0.0115
Group,301,1,0.0115
Group,253,1,0.0115
Group,251,1,0.0115
Group,178,1,0.0115
Group,213,1,0.0115
Group,207,1,0.0115
Group,206,1,0.0115
Group,205,1,0.0115
Group,203,1,0.0115
Group,200,1,0.0115
Group,199,1,0.0115
Group,198,1,0.0115
Group,197,1,0.0115
Group,196,1,0.0115
Group,195,1,0.0115
Group,190,1,0.0115
Group,189,1,0.0115
Group,188,1,0.0115
Group,186,1,0.0115
Group,183,1,0.0115
Group,182,1,0.0115
Group,181,1,0.0115
Group,210,1,0.0115
Group,216,1,0.0115
Group,250,1,0.0115
Group,217,1,0.0115
Group,248,1,0.0115
Group,246,1,0.0115
Group,243,1,0.0115
Group,242,1,0.0115
Group,241,1,0.0115
Group,240,1,0.0115
Group,239,1,0.0115
Group,237,1,0.0115
Group,234,1,0.0115
Group,233,1,0.0115
Group,232,1,0.0115
Group,231,1,0.0115
Group,229,1,0.0115
Group,225,1,0.0115
Group,224,1,0.0115
Group,223,1,0.0115
Group,219,1,0.0115
Group,664,1,0.0115
Group,669,1,0.0115
Group,1337,1,0.0115
Group,1095,1,0.0115
Group,1115,1,0.0115
Group,1113,1,0.0115
Group,1112,1,0.0115
Group,1105,1,0.0115
Group,1102,1,0.0115
Group,1099,1,0.0115
Group,1097,1,0.0115
Group,1096,1,0.0115
Group,1094,1,0.0115
Group,1170,1,0.0115
Group,1093,1,0.0115
Group,1091,1,0.0115
Group,1088,1,0.0115
Group,1085,1,0.0115
Group,1084,1,0.0115
Group,1082,1,0.0115
Group,1080,1,0.0115
Group,1079,1,0.0115
Group,1117,1,0.0115
Group,1121,1,0.0115
Group,1123,1,0.0115
Group,1127,1,0.0115
Group,1168,1,0.0115
Group,1167,1,0.0115
Group,1166,1,0.0115
Group,1163,1,0.0115
Group,1162,1,0.0115
Group,1153,1,0.0115
Group,1152,1,0.0115
Group,1150,1,0.0115
Group,1147,1,0.0115
Group,1146,1,0.0115
Group,1142,1,0.0115
Group,1141,1,0.0115
Group,1136,1,0.0115
Group,1134,1,0.0115
Group,1133,1,0.0115
Group,1132,1,0.0115
Group,1129,1,0.0115
Group,1078,1,0.0115
Group,1077,1,0.0115
Group,1076,1,0.0115
Group,1035,1,0.0115
Group,1033,1,0.0115
Group,1032,1,0.0115
Group,1031,1,0.0115
Group,1030,1,0.0115
Group,1029,1,0.0115
Group,1026,1,0.0115
Group,1025,1,0.0115
Group,1022,1,0.0115
Group,1020,1,0.0115
Group,1019,1,0.0115
Group,1018,1,0.0115
Group,1017,1,0.0115
Group,1015,1,0.0115
Group,1014,1,0.0115
Group,1013,1,0.0115
Group,1012,1,0.0115
Group,1005,1,0.0115
Group,1034,1,0.0115
Group,1036,1,0.0115
Group,1071,1,0.0115
Group,1038,1,0.0115
Group,1068,1,0.0115
Group,1066,1,0.0115
Group,1065,1,0.0115
Group,1062,1,0.0115
Group,1060,1,0.0115
Group,1058,1,0.0115
Group,1057,1,0.0115
Group,1054,1,0.0115
Group,1053,1,0.0115
Group,1052,1,0.0115
Group,1051,1,0.0115
Group,1048,1,0.0115
Group,1047,1,0.0115
Group,1046,1,0.0115
Group,1043,1,0.0115
Group,1041,1,0.0115
Group,1040,1,0.0115
Group,1169,1,0.0115
Group,1173,1,0.0115
Group,671,1,0.0115
Group,1274,1,0.0115
Group,1285,1,0.0115
Group,1284,1,0.0115
Group,1283,1,0.0115
Group,1282,1,0.0115
Group,1281,1,0.0115
Group,1280,1,0.0115
Group,1279,1,0.0115
Group,1278,1,0.0115
Group,1273,1,0.0115
Group,1174,1,0.0115
Group,1271,1,0.0115
Group,1269,1,0.0115
Group,1267,1,0.0115
Group,1264,1,0.0115
Group,1263,1,0.0115
Group,1261,1,0.0115
Group,1260,1,0.0115
Group,1259,1,0.0115
Group,1286,1,0.0115
Group,1288,1,0.0115
Group,1291,1,0.0115
Group,1293,1,0.0115
Group,1336,1,0.0115
Group,1335,1,0.0115
Group,1333,1,0.0115
Group,1332,1,0.0115
Group,1331,1,0.0115
Group,1328,1,0.0115
Group,1323,1,0.0115
Group,1322,1,0.0115
Group,1317,1,0.0115
Group,1312,1,0.0115
Group,1310,1,0.0115
Group,1309,1,0.0115
Group,1307,1,0.0115
Group,1302,1,0.0115
Group,1300,1,0.0115
Group,1299,1,0.0115
Group,1295,1,0.0115
Group,1258,1,0.0115
Group,1256,1,0.0115
Group,1250,1,0.0115
Group,1213,1,0.0115
Group,1208,1,0.0115
Group,1206,1,0.0115
Group,1203,1,0.0115
Group,1199,1,0.0115
Group,1198,1,0.0115
Group,1197,1,0.0115
Group,1195,1,0.0115
Group,1192,1,0.0115
Group,1191,1,0.0115
Group,1190,1,0.0115
Group,1188,1,0.0115
Group,1185,1,0.0115
Group,1180,1,0.0115
Group,1179,1,0.0115
Group,1178,1,0.0115
Group,1177,1,0.0115
Group,1175,1,0.0115
Group,1212,1,0.0115
Group,1214,1,0.0115
Group,1248,1,0.0115
Group,1215,1,0.0115
Group,1246,1,0.0115
Group,1242,1,0.0115
Group,1240,1,0.0115
Group,1239,1,0.0115
Group,1236,1,0.0115
Group,1235,1,0.0115
Group,1234,1,0.0115
Group,1233,1,0.0115
Group,1231,1,0.0115
Group,1230,1,0.0115
Group,1229,1,0.0115
Group,1225,1,0.0115
Group,1223,1,0.0115
Group,1222,1,0.0115
Group,1220,1,0.0115
Group,1218,1,0.0115
Group,1216,1,0.0115
Group,1004,1,0.0115
Group,1001,1,0.0115
Group,1000,1,0.0115
Group,781,1,0.0115
Group,791,1,0.0115
Group,790,1,0.0115
Group,788,1,0.0115
Group,787,1,0.0115
Group,786,1,0.0115
Group,785,1,0.0115
Group,784,1,0.0115
Group,782,1,0.0115
Group,779,1,0.0115
Group,998,1,0.0115
Group,777,1,0.0115
Group,776,1,0.0115
Group,773,1,0.0115
Group,771,1,0.0115
Group,769,1,0.0115
Group,767,1,0.0115
Group,764,1,0.0115
Group,762,1,0.0115
Group,793,1,0.0115
Group,795,1,0.0115
Group,796,1,0.0115
Group,797,1,0.0115
Group,830,1,0.0115
Group,829,1,0.0115
Group,826,1,0.0115
Group,825,1,0.0115
Group,824,1,0.0115
Group,822,1,0.0115
Group,819,1,0.0115
Group,818,1,0.0115
Group,817,1,0.0115
Group,816,1,0.0115
Group,815,1,0.0115
Group,813,1,0.0115
Group,808,1,0.0115
Group,805,1,0.0115
Group,802,1,0.0115
Group,799,1,0.0115
Group,798,1,0.0115
Group,761,1,0.0115
Group,757,1,0.0115
Group,754,1,0.0115
Group,705,1,0.0115
Group,703,1,0.0115
Group,702,1,0.0115
Group,701,1,0.0115
Group,697,1,0.0115
Group,696,1,0.0115
Group,690,1,0.0115
Group,689,1,0.0115
Group,688,1,0.0115
Group,687,1,0.0115
Group,685,1,0.0115
Group,683,1,0.0115
Group,682,1,0.0115
Group,679,1,0.0115
Group,678,1,0.0115
Group,677,1,0.0115
Group,674,1,0.0115
Group,672,1,0.0115
Group,704,1,0.0115
Group,707,1,0.0115
Group,750,1,0.0115
Group,710,1,0.0115
Group,746,1,0.0115
Group,743,1,0.0115
Group,738,1,0.0115
Group,737,1,0.0115
Group,736,1,0.0115
Group,734,1,0.0115
Group,733,1,0.0115
Group,732,1,0.0115
Group,729,1,0.0115
Group,728,1,0.0115
Group,727,1,0.0115
Group,726,1,0.0115
Group,724,1,0.0115
Group,719,1,0.0115
Group,718,1,0.0115
Group,715,1,0.0115
Group,713,1,0.0115
Group,833,1,0.0115
Group,834,1,0.0115
Group,835,1,0.0115
Group,965,1,0.0115
Group,960,1,0.0115
Group,957,1,0.0115
Group,956,1,0.0115
Group,955,1,0.0115
Group,953,1,0.0115
Group,952,1,0.0115
Group,951,1,0.0115
Group,949,1,0.0115
Group,947,1,0.0115
Group,946,1,0.0115
Group,942,1,0.0115
Group,941,1,0.0115
Group,940,1,0.0115
Group,939,1,0.0115
Group,935,1,0.0115
Group,932,1,0.0115
Group,931,1,0.0115
Group,961,1,0.0115
Group,966,1,0.0115
Group,927,1,0.0115
Group,968,1,0.0115
Group,997,1,0.0115
Group,995,1,0.0115
Group,993,1,0.0115
Group,991,1,0.0115
Group,990,1,0.0115
Group,989,1,0.0115
Group,987,1,0.0115
Group,985,1,0.0115
Group,983,1,0.0115
Group,979,1,0.0115
Group,978,1,0.0115
Group,976,1,0.0115
Group,975,1,0.0115
Group,972,1,0.0115
Group,971,1,0.0115
Group,970,1,0.0115
Group,969,1,0.0115
Group,928,1,0.0115
Group,924,1,0.0115
Group,836,1,0.0115
Group,877,1,0.0115
Group,875,1,0.0115
Group,874,1,0.0115
Group,873,1,0.0115
Group,871,1,0.0115
Group,870,1,0.0115
Group,869,1,0.0115
Group,868,1,0.0115
Group,867,1,0.0115
Group,860,1,0.0115
Group,859,1,0.0115
Group,853,1,0.0115
Group,851,1,0.0115
Group,850,1,0.0115
Group,846,1,0.0115
Group,845,1,0.0115
Group,840,1,0.0115
Group,839,1,0.0115
Group,876,1,0.0115
Group,878,1,0.0115
Group,921,1,0.0115
Group,879,1,0.0115
Group,919,1,0.0115
Group,918,1,0.0115
Group,915,1,0.0115
Group,913,1,0.0115
Group,912,1,0.0115
Group,910,1,0.0115
Group,906,1,0.0115
Group,905,1,0.0115
Group,904,1,0.0115
Group,903,1,0.0115
Group,902,1,0.0115
Group,901,1,0.0115
Group,898,1,0.0115
Group,893,1,0.0115
Group,890,1,0.0115
Group,883,1,0.0115
Group,881,1,0.0115
Group,2638,1,0.0115
Group,2640,1,0.0115
Group,2641,1,0.0115
Group,4347,1,0.0115
Group,4360,1,0.0115
Group,4358,1,0.0115
Group,4357,1,0.0115
Group,4356,1,0.0115
Group,4354,1,0.0115
Group,4351,1,0.0115
Group,4349,1,0.0115
Group,4348,1,0.0115
Group,4346,1,0.0115
Group,4404,1,0.0115
Group,4345,1,0.0115
Group,4344,1,0.0115
Group,4343,1,0.0115
Group,4340,1,0.0115
Group,4339,1,0.0115
Group,4337,1,0.0115
Group,4335,1,0.0115
Group,4334,1,0.0115
Group,4361,1,0.0115
Group,4362,1,0.0115
Group,4364,1,0.0115
Group,4365,1,0.0115
Group,4399,1,0.0115
Group,4397,1,0.0115
Group,4396,1,0.0115
Group,4395,1,0.0115
Group,4392,1,0.0115
Group,4391,1,0.0115
Group,4388,1,0.0115
Group,4387,1,0.0115
Group,4383,1,0.0115
Group,4382,1,0.0115
Group,4376,1,0.0115
Group,4373,1,0.0115
Group,4370,1,0.0115
Group,4369,1,0.0115
Group,4368,1,0.0115
Group,4367,1,0.0115
Group,4366,1,0.0115
Group,4333,1,0.0115
Group,4332,1,0.0115
Group,4330,1,0.0115
Group,4280,1,0.0115
Group,4274,1,0.0115
Group,4273,1,0.0115
Group,4272,1,0.0115
Group,4271,1,0.0115
Group,4270,1,0.0115
Group,4266,1,0.0115
Group,4264,1,0.0115
Group,4261,1,0.0115
Group,4260,1,0.0115
Group,4259,1,0.0115
Group,4257,1,0.0115
